prot_id,degree_centrality,closeness_centrality,subgraph_centrality
9606.ENSP00000360266,0.02545661,0.392796075,1.38E+110
9606.ENSP00000360266,0.02545661,0.392796075,1.38E+110
9606.ENSP00000359531,0.018058984,0.365098188,3.17E+109
9606.ENSP00000359531,0.018058984,0.365098188,3.17E+109
9606.ENSP00000355231,0.006798439,0.3556461,1.04E+109
9606.ENSP00000329967,0.006132233,0.365217037,8.15E+109
9606.ENSP00000329967,0.006132233,0.365217037,8.15E+109
9606.ENSP00000315768,0.010448305,0.359793679,2.61E+109
9606.ENSP00000315768,0.010448305,0.359793679,2.61E+109
9606.ENSP00000313007,0.021472012,0.37542519,1.84E+110
9606.ENSP00000310127,0.000915583,0.343675268,1.35E+106
9606.ENSP00000309555,0.008563153,0.369537903,7.34E+109
9606.ENSP00000269305,0.044363159,0.411930611,2.33E+111
9606.ENSP00000269305,0.044363159,0.411930611,2.33E+111
9606.ENSP00000230354,0.000520021,0.345118449,4.05E+106
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,